NAMRJL,KONRJL,MATRJL,FGSRJL,UTKRJL,TOLRJL,WLYRJL,AUTRJL,KLSRJL,SPCRJL,JPARJL,ARHRJL,STARJL,KLLRJL,MEDRJL,LOCRJL,JARRJL,FCODE,REMARK,SRS_ID,LCODE,METADATA,SHAPE_Leng
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.0022257327492
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00038519686582
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00143264253438
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.00178884615034
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000960270671798
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000687609601891
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000646600472732
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000601015135619
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00137170706303
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000404603246491
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00203242581894
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000363900918949
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Setapak,,CA0080,,0.00427985212807
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000934818764858
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000137892999492
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000982255667973
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00275495034479
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00117347620955
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00152953930853
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.0000860294885826
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000632594227681
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000613018085092
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000367544634133
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00144057201111
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.00177895587187
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00241956641712
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00100741956066
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00134354374017
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000470024317728
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00140562911891
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000461001139425
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.00301935886771
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00296494537857
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00104037900094
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000762557216125
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000403202743034
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000714540274436
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000610740570387
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Kolektor,,CA0080,,0.000734962296142
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000467999876173
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00120019919759
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000337602518831
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000323053057034
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00036225923227
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000510958149422
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000758538591351
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00114089909186
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00126903572782
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00103623359765
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000463887064894
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00193973170466
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000701530044968
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000770869856671
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000286431258192
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000855945177712
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000887624620513
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000245649294952
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00079889862458
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.000293418573365
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00935704089695
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00179048911995
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00126402303843
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00214080832578
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00877953683231
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000287331266089
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00156047304155
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000271794115796
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000618755887602
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000879719757708
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00107789222432
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000614719653348
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00105613706694
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000552073798815
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000742656635482
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.001906918794
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000656552722336
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000412221612607
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00140554188209
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00232469739922
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000728500534992
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000604172259526
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lain,,CA0080,,0.00150679133949
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000663180756621
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000754481198393
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.00137116248256
,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,Jalan Lokal,,CA0080,,0.000328550789986
